ADA,CODE,,BRAND NAME,PROOF,SIZE,PACK,BASE,ON PREM,OFF PREM,MINIMUM,
NO.,#,,,,IN ML,SIZE,$$,$$,$$,SHELF $$,
"NEW ITEMS: AUGUST 28,2011",,,,,,,,,,,
,,,,,,,,,,,
STRAIGHT BOURBON,,,,,,,,,,,
,,,,,,,,,,,
221,8083,,OR-G LIQUEUR,34.0,375,12,13.15,12.50,12.74,14.98,
,,,,,,,,,,,
SCOTCH,,,,,,,,,,,
,,,,,,,,,,,
321,8091,,ARDBEG ALLIGATOR,102.4,750,6,83.40,79.24,80.78,94.96,
321,8075,,LAPHROAIG-25 YR 2011 EDIT-97.6,97.6,750,6,439.15,417.20,425.32,499.98,
,,,,,,,,,,,
GIN,,,,,,,,,,,
,,,,,,,,,,,
321,71975,,BEEFEATER GIN W/INFUSER,94.0,750,6,14.90,14.17,14.45,16.98,
,,,,,,,,,,,
COGNAC,,,,,,,,,,,
,,,,,,,,,,,
321,8120,,COURVOISIER X O,80.0,750,6,131.70,125.12,127.56,149.95,
,,,,,,,,,,,
RUM,,,,,,,,,,,
,,,,,,,,,,,
321,8160,,WHIPPED JACK,42.0,1750,6,14.90,14.17,14.45,16.98,
,,,,,,,,,,,
TEQUILA,,,,,,,,,,,
,,,,,,,,,,,
321,8118,,EL CHARRO REPOSADO,80.0,1750,6,26.35,25.02,25.51,29.99,
321,8119,,EL CHARRO SILVER,80.0,1750,6,26.35,25.02,25.51,29.99,
,,,,,,,,,,,
VODKA,,,,,,,,,,,
,,,,,,,,,,,
321,71976,,BELVEDERE/RED CAPSULE SHAKER,80.0,750,6,26.35,25.02,25.51,29.99,
321,8092,,CIROC PEACH,70.0,375,12,15.80,15.00,15.29,17.98,
321,8093,,CIROC PEACH,70.0,750,6,29.85,28.35,28.90,33.97,
321,8094,,CIROC PEACH,70.0,1000,6,36.00,34.20,34.87,40.99,
321,8113,,CIROC PEACH,70.0,1750,6,57.05,54.19,55.25,64.95,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"NEW ITEMS:  AUGUST 28, 2011",,,,,,,,,,,
,,,,,,,,,,,
FLAVORED VODKA,,,,,,,,,,,
