ADA,LIQ,,BRAND NAME,PROOF,SIZE,PACK,BASE,ON PREM,OFF PREM,MINIMUM,NEW/,
#,CODE,,,,IN ML,,PRICE,PRICE,PRICE,SHELF PRICE,CHNG,
AMERICAN BLEND,,,,,,,,,,,,
,,,,,,,,,,,,
321,6928,,SEAGRAM'S 7 CROWN,80.0,1750,6,19.30,18.33,18.69,21.97,,
321,6947,,SEAGRAM'S 7 CROWN PL,80.0,750,12,10.50,9.97,10.16,11.95,,
321,71732,,SEAGRAM 7 CROWN/50ML DK HNY PL,80.0,750,12,10.50,9.97,10.16,11.95,,
321,6289,,SEAGRAM'S 7 CROWN DARK HONEY,71.0,750,12,14.05,13.34,13.60,15.99,,
321,6290,,SEAGRAM'S 7 CROWN DARK HONEY,71.0,1000,12,17.55,16.67,16.99,19.97,,
321,6288,,SEAGRAM'S 7 CROWN DRK HONEY PL,71.0,50,120,0.95,0.91,0.93,1.09,,
321,7668,,SEAGRAM'S 7 CROWN STONE CHE PL,71.0,50,120,0.95,0.91,0.93,1.09,,
321,7748,,SEAGRAM'S 7 CROWN STONE CHERRY,71.0,750,12,14.05,13.34,13.60,15.99,,
321,7749,,SEAGRAM'S 7 CROWN STONE CHERRY,71.0,1000,12,17.55,16.67,16.99,19.97,,
321,5690,,SEAGRAM'S 7 CROWN 75TH ANN,86.8,750,12,11.40,10.84,11.05,12.99,,
221,7563,,TOWN CLUB,80.0,375,24,3.05,2.89,2.95,3.47,,
221,7567,,TOWN CLUB PL,80.0,750,12,5.50,5.22,5.32,6.26,,
221,7568,,TOWN CLUB PL,80.0,1750,6,11.85,11.25,11.47,13.48,,
321,7607,,TRAVELERS CLUB BLEND,80.0,750,12,5.90,5.62,5.73,6.73,,
321,93030,,TRAVELERS CLUB BLEND,80.0,1750,6,12.65,12.03,12.26,14.41,,
321,7707,,WILLIAM PENN,80.0,750,12,5.65,5.38,5.48,6.44,,
321,7708,,WILLIAM PENN,80.0,1750,6,12.25,11.64,11.87,13.95,,
,,,,,,,,,,,,
TENNESSEE,,,,,,,,,,,,
,,,,,,,,,,,,
